Emittent;BaFin-ID;ISIN;Meldepflichtiger;Position / Status;Art des Instruments;Art des Geschäfts;Durchschnittspreis;Aggregiertes Volumen;Mitteilungsdatum;Datum des Geschäfts;Ort des Geschäfts;Datum der Aktivierung
sino Aktiengesellschaft;10117593;DE0005765507;MMI Leisure & Capital Management GmbH;in enger Beziehung;Aktie;Verkauf;32,50 EUR;487.500,00 EUR;17.02.2023;17.02.2023;;21.02.2023 11:28:00
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;27,70 EUR;13.850,00 EUR;21.02.2023;17.02.2023;Xetra;22.02.2023 10:42:22
FRoSTA AG;40000841;DE0006069008;Busse, Maik;Vorstand;Aktie;Sonstiges;61,38 EUR;30.690,00 EUR;21.02.2023;16.02.2023;Börse Frankfurt;21.02.2023 11:39:32
Siemens Aktiengesellschaft;40001273;DE0007236101;Rebellius, Matthias;Vorstand;Aktie;Verkauf;148,07 EUR;121.124,56 EUR;17.02.2023;16.02.2023;XETRA;21.02.2023 11:39:32
COMMERZBANK Aktiengesellschaft;10100005;DE000CBK1001;Orlopp, Dr. Bettina;Vorstand;Aktie;Kauf;10,86 EUR;105.641,53 EUR;16.02.2023;16.02.2023;Frankfurt - XETRA;17.02.2023 11:23:57
COMMERZBANK Aktiengesellschaft;10100005;DE000CBK1001;Schaufler, Thomas;Vorstand;Aktie;Kauf;11,19 EUR;55.925,00 EUR;16.02.2023;16.02.2023;Berlin Tradegate;17.02.2023 11:23:57
COMMERZBANK Aktiengesellschaft;10100005;DE000CBK1001;Chromik, Dr. Marcus;Vorstand;Aktie;Kauf;10,69 EUR;117.535,00 EUR;16.02.2023;16.02.2023;Berlin Tradegate;17.02.2023 11:30:09
thyssenkrupp AG;40001876;DE0007500001;Keysberg, Dr. Klaus;Vorstand;Aktie;Kauf;6,83 EUR;54.047,19 EUR;16.02.2023;16.02.2023;Xetra;17.02.2023 07:13:00
thyssenkrupp AG;40001876;DE0007500001;Burkhard, Oliver;Vorstand;Aktie;Kauf;6,83 EUR;54.047,19 EUR;16.02.2023;16.02.2023;Xetra;17.02.2023 07:13:00
thyssenkrupp AG;40001876;DE0007500001;Merz, Martina;Vorstand;Aktie;Kauf;6,83 EUR;101.301,75 EUR;16.02.2023;16.02.2023;Xetra;17.02.2023 07:13:00
3U Holding AG;40001675;DE0005167902;Beck-Bazlen, Jürgen;Aufsichtsrat;Aktie;Kauf;4,28 EUR;14.980,00 EUR;20.02.2023;16.02.2023;XETRA;21.02.2023 11:05:11
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;27,51 EUR;50.893,80 EUR;17.02.2023;16.02.2023;Xetra;21.02.2023 11:33:47
MBB SE;40004863;DE000A0ETBQ4;MBB Capital Management GmbH;in enger Beziehung;Aktie;Kauf;80,64 EUR;548.814,40 EUR;20.02.2023;16.02.2023;XETRA;21.02.2023 11:28:00
sino Aktiengesellschaft;10117593;DE0005765507;MMI Leisure & Capital Management GmbH;in enger Beziehung;Aktie;Verkauf;34,87 EUR;28.590,00 EUR;17.02.2023;16.02.2023;Tradegate;17.02.2023 13:31:21
sino Aktiengesellschaft;10117593;DE0005765507;MMI Leisure & Capital Management GmbH;in enger Beziehung;Aktie;Verkauf;35,00 EUR;3.150,00 EUR;17.02.2023;16.02.2023;XETRA;17.02.2023 13:31:21
RWE Aktiengesellschaft;40001211;DE0007037129;Sulmana Vermögensverwaltung GmbH;in enger Beziehung;Aktie;Kauf;39,17 EUR;15.080,45 EUR;17.02.2023;16.02.2023;Tradegate;17.02.2023 13:31:21
Baader Bank Aktiengesellschaft;20000004;DE0005088108;Riedel, Oliver;Vorstand;Aktie;Kauf;4,35 EUR;8.700,00 EUR;16.02.2023;15.02.2023;Berlin Tradegate;16.02.2023 15:30:08
thyssenkrupp AG;40001876;DE0007500001;Keysberg, Dr. Klaus;Vorstand;Aktie;Kauf;6,54 EUR;54.039,14 EUR;16.02.2023;15.02.2023;Xetra;16.02.2023 09:19:41
thyssenkrupp AG;40001876;DE0007500001;Burkhard, Oliver;Vorstand;Aktie;Kauf;6,54 EUR;54.039,14 EUR;16.02.2023;15.02.2023;Xetra;16.02.2023 09:19:41
thyssenkrupp AG;40001876;DE0007500001;Merz, Martina;Vorstand;Aktie;Kauf;6,54 EUR;101.294,77 EUR;16.02.2023;15.02.2023;Xetra;16.02.2023 09:19:41
Biofrontera AG;40005059;DE0006046113;Deutsche Balaton Aktiengesellschaft;in enger Beziehung;Aktie;Kauf;1,27 EUR;1.492,25 EUR;20.02.2023;15.02.2023;Xetra;21.02.2023 10:46:57
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;28,20 EUR;8.460,00 EUR;17.02.2023;15.02.2023;Xetra;17.02.2023 11:30:09
3U Holding AG;40001675;DE0005167902;Knoke, Uwe;Vorstand;Aktie;Verkauf;4,23 EUR;6.345,00 EUR;20.02.2023;14.02.2023;Tradegate;21.02.2023 11:05:11
Elmos Semiconductor SE;40001726;DE0005677108;Dienstuhl, Dr. Jan;Vorstand;Aktie;Sonstiges;;;16.02.2023;14.02.2023;;16.02.2023 12:47:46
Elmos Semiconductor SE;40001726;DE0005677108;Meyer, Guido;Vorstand;Aktie;Sonstiges;;;16.02.2023;14.02.2023;;16.02.2023 12:47:46
Elmos Semiconductor SE;40001726;DE0005677108;Schneider, Dr. Arne;Vorstand;Aktie;Sonstiges;;;16.02.2023;14.02.2023;;16.02.2023 12:47:46
RWE Aktiengesellschaft;40001211;DE0007037129;Müller, Dr. Michael;Vorstand;Aktie;Kauf;39,70 EUR;49.625,00 EUR;14.02.2023;14.02.2023;Tradegate;14.02.2023 14:26:33
RWE Aktiengesellschaft;40001211;DE0007037129;Valentin, Helle;Aufsichtsrat;Aktie;Kauf;39,82 EUR;35.838,00 EUR;16.02.2023;14.02.2023;XETRA;16.02.2023 09:19:41
Diebold Nixdorf, Incorporated;50080191;US2536511031;Marquez, Mr. Octavio;Sonstige Führungsperson;Aktie;Kauf;2,92 USD;20.440,00 USD;14.02.2023;14.02.2023;NYSE;15.02.2023 10:16:04
Diebold Nixdorf, Incorporated;50080191;US2536511031;Greenfield, Mr. Gary G.;Sonstige Führungsperson;Aktie;Kauf;2,88 USD;50.358,00 USD;14.02.2023;14.02.2023;NYSE;15.02.2023 10:16:04
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;28,00 EUR;14.000,00 EUR;15.02.2023;14.02.2023;Xetra;15.02.2023 14:18:23
Biofrontera AG;40005059;DE0006046113;Deutsche Balaton Aktiengesellschaft;in enger Beziehung;Aktie;Kauf;1,27 EUR;1.104,90 EUR;20.02.2023;14.02.2023;Xetra;21.02.2023 10:46:57
Neon Equity AG;40029518;DE000A3DW408;TO Holding 1 GmbH;in enger Beziehung;Aktie;Kauf;11,22 EUR;561,00 EUR;15.02.2023;14.02.2023;Xetra;15.02.2023 14:18:23
3U Holding AG;40001675;DE0005167902;Beck-Bazlen, Jürgen;Aufsichtsrat;Aktie;Kauf;4,25 EUR;14.875,00 EUR;20.02.2023;13.02.2023;XETRA;21.02.2023 11:05:11
3U Holding AG;40001675;DE0005167902;Beck-Bazlen, Jürgen;Aufsichtsrat;Aktie;Kauf;4,25 EUR;14.875,00 EUR;14.02.2023;13.02.2023;XETRA;14.02.2023 14:26:33
Diebold Nixdorf, Incorporated;50080191;US2536511031;Marquez, Mr. Octavio;Sonstige Führungsperson;Aktie;Kauf;2,28 USD;68.300,00 USD;13.02.2023;13.02.2023;NYSE;14.02.2023 09:34:27
Biofrontera AG;40005059;DE0006046113;Deutsche Balaton Aktiengesellschaft;in enger Beziehung;Aktie;Kauf;1,27 EUR;2.071,37 EUR;16.02.2023;13.02.2023;Xetra;16.02.2023 12:37:42
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;27,80 EUR;8.340,00 EUR;15.02.2023;13.02.2023;Xetra;15.02.2023 14:18:23
ENCAVIS AG;20000258;DE0006095003;ABACON CAPITAL GmbH;in enger Beziehung;Aktie;Kauf;18,00 EUR;216.000,00 EUR;14.02.2023;13.02.2023;XETRA;14.02.2023 14:26:33
